"State","Year","Total_graduates","Total_population","School_population","hs_pop_ratio","school_pop_ratio","hs_school_ratio"
"Alabama","2000",37819,4452.173,827.975,0.00849450369516189,0.185970985404206,0.0456764998943205
"Alabama","2010",43166,4785.514,826.193,0.00902013869356562,0.172644568587617,0.0522468720988921
"Alabama","2015",45420,4854.803,809.062,0.00935568343349874,0.166651870323059,0.0561390845200986
"Alabama","2016",46070,4866.824,805.845,0.0094661323277768,0.165579236068533,0.0571698031259113
"Alabama","2017",47560,4877.989,802.005,0.00974991948526329,0.164413039881804,0.059301375926584
"Alabama","2018",48030,4891.628,797.079,0.00981881696645779,0.162947591272272,0.0602575152525659
"Alabama","2019",47280,4907.965,794.453,0.00963332053101438,0.161870143735744,0.0595126458078703
"Alabama","2020",46260,4921.532,795.363,0.00939951218441737,0.161608824244158,0.0581621222008064
"Alaska","2000",6615,627.963,142.83,0.0105340601277464,0.227449706431748,0.0463137996219282
"Alaska","2010",8245,713.982,133.601,0.0115479101714049,0.187120963833822,0.0617136099280694
"Alaska","2015",7860,738.43,130.983,0.010644204596238,0.177380388120743,0.0600077872701038
"Alaska","2016",7840,742.575,132.012,0.0105578561088106,0.177775982224018,0.059388540435718
"Alaska","2017",7910,740.983,131.502,0.0106750087383921,0.177469658548172,0.0601511764079634
"Alaska","2018",8030,736.624,130.495,0.0109010838636808,0.177152794369991,0.061534924709759
"Alaska","2019",7890,733.603,129.26,0.0107551359522794,0.176198843243553,0.0610397648151014
"Alaska","2020",7700,731.158,128.982,0.0105312394858567,0.176407835242177,0.0596982524693368
"Arizona","2000",38304,5160.586,989.314,0.00742241288101778,0.191705748145656,0.0387177377455489
"Arizona","2010",61145,6407.342,1172.97,0.00954295868708116,0.183066550841207,0.0521283579290178
"Arizona","2015",67200,6832.81,1193.142,0.00983489955084365,0.17461951964126,0.0563218795415801
"Arizona","2016",67120,6944.767,1199.427,0.00966483108792563,0.172709465990724,0.0559600542592421
"Arizona","2017",68770,7048.088,1203.212,0.00975725615230684,0.170714667580768,0.0571553475198053
"Arizona","2018",66670,7164.228,1206.372,0.00930595732017462,0.168388275750018,0.0552648768373271
"Arizona","2019",69880,7291.843,1212.617,0.00958331110529944,0.166297738445548,0.0576274289408775
"Arizona","2020",71120,7421.401,1221.668,0.00958309623748939,0.164614201550354,0.058215488987188
"Arkansas","2000",27335,2678.588,499.923,0.0102050035317115,0.186636765340545,0.0546784204767534
"Arkansas","2010",28276,2921.998,514.248,0.00967694023062302,0.175991906907534,0.0549851433549571
"Arkansas","2015",30350,2979.732,515.719,0.0101854797679791,0.173075632305187,0.0588498775495958
"Arkansas","2016",30290,2991.815,515.004,0.0101242891021002,0.172137648885376,0.0588150771644492
"Arkansas","2017",30750,3003.855,515.071,0.0102368456533355,0.171469994390542,0.0597005073087011
"Arkansas","2018",30940,3012.161,513.115,0.0102716953044675,0.170347800134189,0.0602983736589264
"Arkansas","2019",31250,3020.985,512.598,0.0103443082305937,0.169679094732347,0.0609639522588851
"Arkansas","2020",31620,3030.522,513.422,0.0104338460502844,0.169417017926285,0.0615867648834682
"California","2000",309866,33987.977,6774.791,0.00911692978961354,0.199329045091445,0.0457380899277926
"California","2010",404987,37319.55,6750.379,0.0108518725440151,0.180880503650232,0.0599947054824625
"California","2015",422830,38904.296,6609.531,0.0108684655288455,0.169892060249593,0.063972769020979
"California","2016",419190,39149.186,6601.682,0.0107075023220151,0.168628844543537,0.0634974541336587
"California","2017",411710,39337.785,6582.607,0.0104660188671019,0.167335476565343,0.0625451283966975
"California","2018",415890,39437.463,6549.374,0.0105455566449596,0.166069861035432,0.063500725412841
"California","2019",416300,39437.61,6510.534,0.0105559135049005,0.165084395327202,0.0639425276021905
"California","2020",413730,39368.078,6480.854,0.0105092760687987,0.164622057495415,0.0638388088977163
"Colorado","2000",38924,4326.921,807.663,0.00899577320686003,0.186659982930125,0.0481933677783927
"Colorado","2010",49321,5047.539,883.159,0.00977129646744681,0.174968236996287,0.0558461160447892
"Colorado","2015",51450,5454.328,922.843,0.00943287605732549,0.169194628559192,0.0557516283918283
"Colorado","2016",53310,5543.844,928.439,0.00961607144789788,0.167472064509752,0.0574189580575568
"Colorado","2017",54060,5617.421,929.72,0.00962363333636557,0.165506555410392,0.0581465387428473
"Colorado","2018",55560,5697.155,930.256,0.00975223598445189,0.163284305938666,0.0597254949175281
"Colorado","2019",56620,5758.486,927.448,0.00983244554210951,0.161057611323532,0.0610492448094125
"Colorado","2020",57340,5807.719,925.452,0.00987306720590304,0.159348618622905,0.0619589130500555
"Connecticut","2000",31562,3411.777,619.228,0.00925089769935139,0.181497208053164,0.050969917380997
"Connecticut","2010",34495,3579.173,613.136,0.00963770122315965,0.171306611890512,0.0562599488531093
"Connecticut","2015",37160,3588.561,575.48,0.010355125633924,0.160365115710726,0.0645721832209634
"Connecticut","2016",37420,3579.83,567.573,0.0104530103384798,0.158547472924692,0.0659298451476726
"Connecticut","2017",37890,3575.324,559.835,0.0105976409410728,0.156583011777394,0.0676806559075442
"Connecticut","2018",37850,3574.561,552.829,0.010588712851732,0.154656473899872,0.0684660175207885
"Connecticut","2019",37640,3566.022,545.495,0.0105551788519532,0.152970172365734,0.0690015490517787
"Connecticut","2020",37110,3557.006,539.361,0.0104329315159997,0.151633424289979,0.0688036398627264
"Delaware","2000",6108,786.373,143.335,0.00776730635461797,0.182273552118397,0.0426134579830467
"Delaware","2010",8133,899.647,149.647,0.00904021243887881,0.166339686565953,0.0543478987216583
"Delaware","2015",8390,942.065,148.676,0.0089059672103305,0.157819258756031,0.0564314347978154
"Delaware","2016",8480,949.989,148.834,0.00892641914801119,0.156669182485271,0.0569762285499281
"Delaware","2017",8690,957.942,149.217,0.00907153042668554,0.1557683033002,0.0582373322074563
"Delaware","2018",8780,966.985,149.09,0.00907976855897454,0.154180261327735,0.0588906029914817
