"State","Lower_Quartile","Standard_Deviation","Median","Mean","Upper_Quartile"
"Alabama",620768.748505338,3661328.61153653,6491387.86155779,4138026.6652802,7604608.1244957
"Alaska",22805.091003245,1284765.82979634,1839655.33908955,1313539.72902815,2561857.07466471
"Arizona",439052.225836299,4265245.32359418,6666505.49444479,5582899.1270432,9444550.06847487
"Arkansas",360977.557762172,2558778.72531132,3700035.72048569,2798458.04182593,5351221.30038294
"California",12419092.7918387,32807354.8881449,59269254.0133833,43632755.207845,70723204.1591607
"Colorado",780612.637275281,4246721.269235,6841021.93800264,5003255.98976704,8874868.59336388
"Connecticut",3305248.58177936,4605242.82958132,8398281.02159115,6952431.67640215,10854683.301148
"Delaware",82880.8022182681,988939.768838216,1457471.75402079,1072874.01668546,2024981.68604319
"Florida",3205289.4767497,12274555.5113226,21584667.5335229,16112965.7125989,28296343.5722198
"Georgia",4157926.46736655,8003530.29377049,14236355.5697707,11376658.014079,18482245.4257024
"Hawaii",262363.240777154,1269131.27017564,1886593.18962892,1422488.34863097,2594468.66606747
"Idaho",186404.416109134,1092525.07258096,2025125.308565,1283083.74310675,2241118.73752412
"Illinois",8943288.49677343,12826609.9961824,22481234.7932397,18865741.0075882,29984622.9700319
"Indiana",2119345.89352313,5103070.51603549,11021840.3961277,6734732.32970382,11217255.0492447
"Iowa",1245823.05219101,2620388.74471247,5074151.73875139,3492198.78534718,5850775.42490332
"Kansas",329311.311589561,2721587.13882359,4619448.8431113,3029063.31289173,5643465.49934768
"Kentucky",631888.809086596,3469625.14468519,5965546.92762717,4029695.18489201,7355483.04542021
"Louisiana",1177955.59747331,4047622.36220553,6825754.94109722,4807499.24529248,8825264.71697817
"Maine",498732.025278766,1262532.19881647,2493970.96784728,1641352.43400181,2830292.97896705
"Maryland",3480213.83985765,5873083.90961474,10173893.9531752,8660857.02243035,14107798.1962692
"Massachusetts",11976853.4963108,7884856.15141239,16638481.8679867,13325024.7797359,18532509.8780605
"Michigan",1570416.76370107,9624136.4310906,18472037.9883884,10708705.1561071,18835950.2210794
"Minnesota",1584683.24772242,4946225.76949752,9544830.74466205,6461185.88029326,10890158.3863076
"Mississippi",236849.058422301,2257931.44692054,3902180.59570157,2445730.75798037,4587017.55301962
"Missouri",3383057.6411981,4307318.03556654,8791074.3102487,6701947.1709937,10440405.6910409
"Montana",114915.230446944,849865.424718289,1685551.3871661,1075426.25277373,1800888.99750392
"Nebraska",611466.954116251,1869201.26707679,2994591.62850913,2271896.8608165,4053797.82503443
"Nevada",127421.961702494,2130202.38793164,2915264.23789552,2255299.47314231,4362469.8759736
"New Hampshire",1793622.37088767,1110037.66724062,2897300.05668718,2237033.37637288,3114986.01886174
"New Jersey",2148967.89333333,13787061.5830098,20716767.8792686,15627052.5918195,28900732.7240638
"New Mexico",43090.7420464316,1813274.40031469,2938281.80056745,1896873.75528798,3626954.85521047
"New York",19752267.9044721,25767207.9584192,44197219.0732189,39906607.7196459,61386625.1957759
"North Carolina",5569807.75801898,6073921.98492284,11989702.586013,9775586.16380862,14688565.3821439
"North Dakota",88350.937603796,681866.117834308,993190.579808999,750405.545767052,1335779.10744864
"Ohio",3488347.08173191,10598634.5233032,20167948.5043278,13046376.6966654,23306144.7614755
"Oklahoma",533698.285361803,2916919.10729551,5257954.88418843,3322412.51742966,6062483.73485271
"Oregon",720508.087995255,3148510.85211705,6056469.95361415,3694359.29047357,6558488.991918
"Pennsylvania",11975725.7919929,11656663.6485902,26491421.6846693,19492419.0690853,27602131.4190779
"Rhode Island",2162273.71582073,609149.802255803,2469077.67491043,2227549.4252164,2559227.65295486
"South Carolina",643900.927330961,3867014.9247795,6353469.6533304,4421380.3729288,8023341.59469402
"South Dakota",109736.313677343,645227.33505682,1147159.29228239,745164.015589808,1340831.62976835
"Tennessee",3069431.48887236,4112504.87764803,7665989.10163915,6008542.6394018,9704341.32395017
"Texas",3929411.06272835,24272481.1342721,39013944.6916201,27820903.2468428,51019649.0385724
"Utah",1022403.85399763,2013926.43827016,3268410.02287015,2838060.6837587,4486933.8257488
"Vermont",547924.006381969,746388.217092468,1352653.66444922,1114968.41821812,1762167.68593943
"Virginia",1490775.56380783,7348185.21015353,12058571.98295,8871048.75244645,15993736.5389176
"Washington",947115.892408067,6278245.52202868,9948113.38898957,6939692.2014566,12185926.0930595
"West Virginia",263854.912986891,1725152.90978523,3243978.48290456,1983846.79553263,3577994.00767058
"Wisconsin",1576912.27702254,5251872.42540144,10651168.1885817,6544973.4585643,11330443.7386827
"Wyoming",19798.8726716796,793258.721289591,1370119.992954,929431.265090253,1641083.85760103
